,,"Michelob ULTRA Arena","South Seas AB, Level 3","Islander EI, Level 0","Jasmine AE, Level 3","South Seas CD, Level 3","Oceanside A, Level 2","Mandalay Bay H, Level 2","Oceanside C, Level 2","Islander FG, Level 0","South Pacific F, Level 0","Breakers C, Level 2","Oceanside D, Level 2"
8/7,9:00am,"=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#keynote-democracys-biggest-year-the-fight-for-secure-elections-around-the-world-41960"",""Keynote: Democracy's Biggest Year: The Fight for Secure Elections Around the World"")",,,,,,,,,,,
8/7,10:20am,,"=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#arbitrary-data-manipulation-and-leakage-with-cpu-zero-day-bugs-on-risc-v-38293"",""Arbitrary Data Manipulation and Leakage with CPU Zero-Day Bugs on RISC-V"")","=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#breaching-aws-accounts-through-shadow-resources-39706"",""Breaching AWS Accounts Through Shadow Resources"")","=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#fallen-tower-of-babel-rooting-wireless-mesh-networks-by-abusing-heterogeneous-control-protocols-39898"",""Fallen Tower of Babel: Rooting Wireless Mesh Networks by Abusing Heterogeneous Control Protocols"")","=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#let-the-cache-cache-and-let-the-webassembly-assemble-knockin-on-chromes-shell-39312"",""Let the Cache Cache and Let the WebAssembly Assemble: Knockin' on Chrome's Shell"")","=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#listen-to-the-whispers-web-timing-attacks-that-actually-work-38297"",""Listen to the Whispers: Web Timing Attacks that Actually Work"")","=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#practical-llm-security-takeaways-from-a-year-in-the-trenches-39468"",""Practical LLM Security: Takeaways From a Year in the Trenches"")","=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#project-xac-deoxidizing-the-rust-malware-ecosystem-38637"",""Project 0xA11C: Deoxidizing the Rust Malware Ecosystem"")","=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#tunnel-vision-exploring-vpn-post-exploitation-techniques-39617"",""Tunnel Vision: Exploring VPN Post-Exploitation Techniques"")","=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#windows-downdate-downgrade-attacks-using-windows-updates-38963"",""Windows Downdate: Downgrade Attacks Using Windows Updates"")",,
8/7,11:20am,,"=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#we-r-in-a-right-pickle-with-all-these-insecure-serialization-formats-39137"",""We R in a Right Pickle With All These Insecure Serialization Formats"")","=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#bugs-of-yore-a-bug-hunting-journey-on-vmwares-hypervisor-40085"",""Bugs of Yore: A Bug Hunting Journey on VMware's Hypervisor"")","=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#a-multilateral-framework-for-evaluating-national-cybersecurity-strategies-40879"",""A Multilateral Framework for Evaluating National Cybersecurity Strategies"")","=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#low-energy-to-high-energy-hacking-nearby-ev-chargers-over-bluetooth-39732"",""Low Energy to High Energy: Hacking Nearby EV-Chargers Over Bluetooth"")","=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#project-zero-ten-years-of-make--day-hard-40586"",""Project Zero: Ten Years of 'Make 0-Day Hard'"")","=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#-ways-to-break-your-copilot-39770"",""15 Ways to Break Your Copilot"")","=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#from-exploits-to-forensics-evidence---unraveling-the-unitronics-attack-40041"",""From Exploits to Forensics Evidence - Unraveling the Unitronics Attack"")","=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#hardening-hsms-for-banking-grade-crypto-wallets-38836"",""Hardening HSMs for Banking-Grade Crypto Wallets"")","=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#all-your-secrets-belong-to-us-leveraging-firmware-bugs-to-break-tees-40137"",""All Your Secrets Belong to Us: Leveraging Firmware Bugs to Break TEEs"")","=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#ai-track-meetup-41975"",""AI TRACK MEETUP"")",
8/7,12:15pm,,,,,,"=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#main-stage-from-the-office-of-the-ciso-smarter-faster-stronger-security-in-the-age-of-ai-42061"",""Main Stage: From the Office of the CISO: Smarter, Faster, Stronger Security in the Age of AI"")",,,,,,
8/7,12:40pm,,,,,,"=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#main-stage-understanding-and-reducing-supply-chain-and-software-vulnerability-risks-42104"",""Main Stage: Understanding and Reducing Supply Chain and Software Vulnerability Risks"")",,,,,,
8/7,1:30pm,,"=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#self-hosted-github-cicd-runners-continuous-integration-continuous-destruction-38308"",""Self-Hosted GitHub CI/CD Runners: Continuous Integration, Continuous Destruction"")","=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#the-overlooked-attack-surface-diving-into-windows-client-components-for-rce-vulnerabilities-39844"",""The Overlooked Attack Surface: Diving into Windows Client Components for RCE Vulnerabilities"")","=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#the-hackdac-story-learnings-from-organizing-the-worlds-largest-hardware-hacking-competition-40880"",""The Hack@DAC Story: Learnings from Organizing the World's Largest Hardware Hacking Competition"")","=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#modern-kill-chains-real-world-saas-attacks-and-mitigation-strategies-40201"",""Modern Kill Chains: Real World SaaS Attacks and Mitigation Strategies"")","=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#from-hal-to-halt-thwarting-skynets-siblings-in-the-genai-coding-era-39485"",""From HAL to HALT: Thwarting Skynet's Siblings in the GenAI Coding Era"")","=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#splitting-the-email-atom-exploiting-parsers-to-bypass-access-controls-39193"",""Splitting the Email Atom: Exploiting Parsers to Bypass Access Controls"")","=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#predict-prioritize-patch-how-microsoft-harnesses-llms-for-security-response-40188"",""Predict, Prioritize, Patch: How Microsoft Harnesses LLMs for Security Response"")","=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#unraveling-the-mind-behind-the-apt---analyzing-the-role-of-pretexting-in-cti-and-attribution-38462"",""Unraveling the Mind Behind the APT - Analyzing the Role of Pretexting in CTI and Attribution"")","=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#the-gcp-jenga-tower-hacking-millions-of-googles-servers-with-a-single-package-and-more-40083"",""The GCP Jenga Tower: Hacking Millions of Google's Servers With a Single Package (and more)"")","=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#reverse-engineering-track-meetup-42099"",""REVERSE ENGINEERING TRACK MEETUP"")","=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#the-fundamentals-of-cyber-insurance-41888"",""The Fundamentals of Cyber-Insurance"")"
8/7,2:30pm,,"=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#deep-backdoors-in-deep-reinforcement-learning-agents-39550"",""Deep Backdoors in Deep Reinforcement Learning Agents"")","=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#ops-it-is-jtags-fault-journey-to-unlocking-automotive-grade-ic-40451"",""Ops! It is JTAG's Fault: Journey to Unlocking Automotive Grade IC"")","=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#foreign-information-manipulation-and-interference-disinformation--based-on-learnings-from--years-at-nato-40108"",""Foreign Information Manipulation and Interference (Disinformation 2.0) Based on Learnings from 30 Years at NATO"")","=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#surveilling-the-masses-with-wi-fi-positioning-systems-38430"",""Surveilling the Masses with Wi-Fi Positioning Systems"")","=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#pylingual-a-python-decompilation-framework-for-evolving-python-versions-40529"",""PyLingual: A Python Decompilation Framework for Evolving Python Versions"")","=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#kicking-in-the-door-to-the-cloud-exploiting-cloud-provider-vulnerabilities-for-initial-access-39966"",""Kicking in the Door to the Cloud: Exploiting Cloud Provider Vulnerabilities for Initial Access"")","=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#cracking-the-g-fortress-peering-into-gs-vulnerability-abyss-40620"",""Cracking the 5G Fortress: Peering Into 5G's Vulnerability Abyss"")","=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#relationships-matter-reconstructing-the-organizational-and-social-structure-of-a-ransomware-gang-39725"",""Relationships Matter: Reconstructing the Organizational and Social Structure of a Ransomware Gang"")","=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#tudoor-attack-systematically-exploring-and-exploiting-logic-vulnerabilities-in-dns-response-pre-processing-with-malformed-packets-38986"",""TuDoor Attack: Systematically Exploring and Exploiting Logic Vulnerabilities in DNS Response Pre-processing with Malformed Packets"")",,"=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#strengthen-cyber-security-by-leveraging-cyber-insurance-41889"",""Strengthen Cyber-security by Leveraging Cyber-Insurance"")"
8/7,3:20pm,,"=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#attacking-samsung-galaxy-a-boot-chain-and-beyond-38526"",""Attacking Samsung Galaxy A* Boot Chain, and Beyond"")","=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#that-gambling-site-its-fueled-by-chinese-organized-crime-39630"",""That Gambling Site? It's Fueled by Chinese Organized Crime"")","=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#skirting-the-tornado-essential-strategies-for-cisos-to-sidestep-government-fallout-in-the-wake-of-major-cyberattacks-39055"",""Skirting the Tornado: Essential Strategies for CISOs to Sidestep Government Fallout in the Wake of Major Cyberattacks"")","=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#super-hat-trick-exploit-chrome-and-firefox-four-times-40037"",""Super Hat Trick: Exploit Chrome and Firefox Four Times"")","=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#ai-safety-and-you-perspectives-on-evolving-risks-and-impacts-41493"",""AI Safety and You: Perspectives on Evolving Risks and Impacts"")","=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#compromising-confidential-compute-one-bug-at-a-time-38435"",""Compromising Confidential Compute, One Bug at a Time"")","=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#maldaptive-diving-deep-into-ldap-obfuscation-deobfuscation--detection-38458"",""MaLDAPtive: Diving Deep Into LDAP Obfuscation, Deobfuscation & Detection"")","=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#into-the-inbox-novel-email-spoofing-attack-patterns-39962"",""Into the Inbox: Novel Email Spoofing Attack Patterns"")","=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#secure-shells-in-shambles-40393"",""Secure Shells in Shambles"")","=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#hardwareembedded-track-meetup-42096"",""HARDWARE/EMBEDDED TRACK MEETUP"")","=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#cyber-insurance-strategies-for-incident-handling-41890"",""Cyber-Insurance Strategies for Incident Handling"")"
8/7,4:20pm,,"=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#nope-sill-not-secure-stealing-private-keys-from-s-plcs-40677"",""Nope, S7ill Not Secure: Stealing Private Keys From S7 PLCs"")","=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#isolation-or-hallucination-hacking-ai-infrastructure-providers-for-fun-and-weights-40569"",""Isolation or Hallucination? Hacking AI Infrastructure Providers for Fun and Weights"")","=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#from-doxing-to-doorstep-exposing-privacy-intrusion-techniques-used-by-hackers-for-extortion-39011"",""From Doxing to Doorstep: Exposing Privacy Intrusion Techniques used by Hackers for Extortion"")","=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#achilles-heel-of-js-engines-exploiting-modern-browsers-during-wasm-execution-38540"",""Achilles' Heel of JS Engines: Exploiting Modern Browsers During WASM Execution"")","=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#is-defense-winning-40663"",""Is Defense Winning?"")","=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#the-way-to-android-root-exploiting-your-gpu-on-smartphone-40234"",""The Way to Android Root: Exploiting Your GPU on Smartphone"")","=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#snailload-anyone-on-the-internet-can-learn-what-youre-doing-38797"",""SnailLoad: Anyone on the Internet Can Learn What You're Doing"")","=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#unoauthorized-a-technique-to-privilege-escalation-to-global-administrator-39231"",""UnOAuthorized: A Technique to Privilege Escalation to Global Administrator"")","=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#surfacing-a-hydra-unveiling-a-multi-headed-chinese-state-sponsored-campaign-against-a-foreign-government-39319"",""Surfacing a Hydra: Unveiling a Multi-Headed Chinese State-Sponsored Campaign Against a Foreign Government"")",,"=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#moral-hazards-and-ethical-considerations-in-cyber-insurance-41891"",""Moral Hazards and Ethical Considerations in Cyber-Insurance"")"
8/8,9:00am,"=HYPERLINK(""https://www.blackhat.com/us-24/briefings/schedule/index.html#keynote-fireside-chat-with-moxie-marlinspike-41961"",""Keynote: Fireside Chat with Moxie Marlinspike"")",,,,,,,,,,,
